"contractor_name","resolution_time_minutes"
"Contractor C",775.0000000000000000
"Contractor E",310.0000000000000000
"Contractor B",388.0000000000000000
"Contractor C",521.0000000000000000
"Contractor E",90.0000000000000000
"Contractor B",148.0000000000000000
"Contractor C",836.0000000000000000
"Contractor E",350.0000000000000000
"Contractor B",449.0000000000000000
"Contractor D",264.0000000000000000
"Contractor E",403.0000000000000000
"Contractor B",169.0000000000000000
"Contractor D",592.0000000000000000
"Contractor A",389.0000000000000000
"Contractor B",240.0000000000000000
"Contractor D",403.0000000000000000
"Contractor A",446.0000000000000000
"Contractor B",191.0000000000000000
"Contractor D",653.0000000000000000
"Contractor A",273.0000000000000000
"Contractor B",571.0000000000000000
"Contractor D",442.0000000000000000
"Contractor A",490.0000000000000000
"Contractor C",356.0000000000000000
"Contractor D",336.0000000000000000
"Contractor A",469.0000000000000000
"Contractor C",1040.0000000000000000
"Contractor E",482.0000000000000000
"Contractor A",533.0000000000000000
"Contractor C",189.0000000000000000
"Contractor E",775.0000000000000000
"Contractor A",508.0000000000000000
"Contractor C",1102.0000000000000000
"Contractor E",521.0000000000000000
"Contractor B",126.0000000000000000
"Contractor C",400.0000000000000000
"Contractor E",836.0000000000000000
"Contractor B",482.0000000000000000
"Contractor C",1163.0000000000000000
"Contractor E",357.0000000000000000
"Contractor B",547.0000000000000000
"Contractor D",313.0000000000000000
"Contractor E",898.0000000000000000
"Contractor B",521.0000000000000000
"Contractor D",432.0000000000000000
"Contractor E",601.0000000000000000
"Contractor B",590.0000000000000000
"Contractor D",335.0000000000000000
"Contractor A",959.0000000000000000
"Contractor B",408.0000000000000000
"Contractor D",979.0000000000000000
"Contractor A",640.0000000000000000
"Contractor B",634.0000000000000000
"Contractor D",356.0000000000000000
"Contractor A",480.0000000000000000
"Contractor C",502.0000000000000000
"Contractor D",1040.0000000000000000
"Contractor A",680.0000000000000000
"Contractor C",569.0000000000000000
"Contractor E",126.0000000000000000
"Contractor A",1081.0000000000000000
"Contractor C",541.0000000000000000
"Contractor E",1102.0000000000000000
"Contractor A",719.0000000000000000
"Contractor C",153.0000000000000000
"Contractor E",400.0000000000000000
"Contractor A",1142.0000000000000000
